hh_ID,n_hh,n_waa,n_child,n_aged,csec,all_school,region,cropprod,landsize,mo_lowfood
963,5,2,2,1,0,0,4,1.43,0.81,4
1131,7,2,4,1,0,1,2,1.43,4.05,0
1579,5,2,3,0,0,1,4,1.42,2.43,4
279,8,1,5,2,0,0,4,1.42,0.81,2
973,5,2,2,1,0,0,3,1.42,5.67,0
213,6,1,2,3,0,1,4,1.42,1.62,2
1536,12,2,10,0,1,1,1,1.42,0.81,2
770,8,2,5,1,0,0,1,1.42,1.21,0
504,3,0,1,2,0,0,3,1.41,3.24,4
167,6,2,1,3,0,0,3,1.41,3.24,2
3,15,4,4,7,0,0,5,1.41,4.05,6
611,6,2,2,2,0,1,4,1.41,4.05,0
799,7,2,4,1,0,0,4,1.41,4.05,6
1154,6,2,3,1,0,1,1,1.4,0.81,2
546,7,2,3,2,0,1,2,1.4,1.62,10
1486,4,2,2,0,0,0,4,1.4,1.21,0
738,10,3,6,1,0,0,4,1.4,0.81,6
843,7,3,3,1,0,0,5,1.4,1.21,8
1505,2,0,2,0,0,0,4,1.4,3.24,0
1027,4,2,1,1,0,0,3,1.39,3.24,8
472,5,2,1,2,0,0,3,1.39,2.43,6
1635,6,5,1,0,1,1,4,1.39,2.02,8
1067,3,1,1,1,0,0,3,1.39,1.62,4
1256,4,1,2,1,0,1,2,1.39,4.86,0
785,8,3,4,1,0,0,4,1.39,1.21,6
244,11,3,6,2,0,0,4,1.39,4.05,0
862,6,2,3,1,0,0,3,1.39,6.07,8
1585,5,2,3,0,0,1,1,1.38,2.02,0
338,8,3,3,2,0,0,3,1.38,6.07,12
302,8,2,4,2,0,0,4,1.38,2.02,6
1655,3,2,1,0,0,1,4,1.38,2.43,0
1360,8,2,6,0,1,0,2,1.38,3.24,6
1233,5,2,2,1,0,1,1,1.38,1.01,0
1699,2,3,2,0,0,1,4,1.38,4.05,4
1483,4,2,2,0,0,0,4,1.37,2.83,4
727,12,4,7,1,0,0,5,1.37,1.62,6
710,4,1,1,2,0,1,3,1.37,3.64,6
477,5,2,1,2,0,0,3,1.37,2.43,6
82,11,3,5,3,0,0,4,1.37,4.05,0
534,12,7,3,2,1,1,4,1.37,4.86,6
85,10,2,5,3,0,0,5,1.36,2.43,8
879,6,2,3,1,0,0,4,1.36,4.86,8
352,7,2,3,2,0,0,3,1.36,4.45,6
736,10,2,7,1,0,0,5,1.36,1.62,8
584,6,2,2,2,0,1,4,1.36,2.02,6
206,7,2,2,3,0,1,1,1.36,0.81,0
1668,8,5,4,0,0,0,5,1.35,4.05,4
24,17,5,7,5,0,1,6,1.35,3.64,10
25,17,5,7,5,0,1,6,1.35,3.64,8
1165,6,2,3,1,0,1,3,1.35,6.07,6
564,6,1,3,2,1,1,1,1.35,1.21,6
960,5,2,2,1,0,0,4,1.35,2.43,4
1559,8,5,3,0,1,1,2,1.35,4.05,4
1693,1,1,2,0,0,1,3,1.35,4.45,6
1356,9,2,7,0,0,0,4,1.34,2.43,6
1560,7,4,3,0,0,1,1,1.34,1.42,6
1421,5,2,3,0,0,0,4,1.34,1.62,6
103,9,2,4,3,0,0,5,1.34,1.62,10
34,14,5,5,4,0,0,5,1.34,2.83,10
448,4,0,2,2,0,0,3,1.33,5.67,4
1382,7,3,4,0,0,0,1,1.33,2.43,4
1266,5,3,1,1,0,1,3,1.33,1.21,4
747,9,2,6,1,0,0,6,1.33,3.24,0
748,9,2,6,1,0,0,6,1.33,3.24,0
683,5,2,1,2,0,1,4,1.32,3.24,10
1581,5,2,3,0,0,1,4,1.32,2.02,10
1537,8,2,6,0,1,1,2,1.32,2.02,0
674,5,2,1,2,1,1,3,1.32,2.43,10
1136,6,1,4,1,0,1,1,1.32,2.02,6
1363,6,0,6,0,0,0,4,1.32,0.81,0
1097,11,5,5,1,0,1,2,1.32,1.21,10
275,9,2,5,2,0,0,5,1.32,1.21,4
1681,1,1,1,0,1,0,2,1.32,0.81,10
1643,4,3,1,0,0,1,1,1.32,1.21,0
1712,3,10,2,0,0,1,1,1.32,0.4,0
1306,4,2,1,1,0,1,4,1.31,1.62,2
83,10,2,5,3,0,0,3,1.31,2.83,6
1372,7,2,5,0,0,0,4,1.31,1.62,2
672,5,2,1,2,0,1,3,1.31,2.02,12
1402,6,2,4,0,0,0,5,1.31,1.21,2
1676,5,3,3,0,0,0,3,1.3,2.02,12
675,5,2,1,2,0,1,3,1.3,6.07,2
182,16,4,9,3,0,1,2,1.3,3.64,10
817,7,2,4,1,0,0,3,1.3,4.05,0
813,7,2,4,1,0,0,1,1.3,2.83,0
654,5,2,1,2,0,1,4,1.3,1.62,2
1691,0,1,1,0,0,0,4,1.3,1.62,10
1362,6,0,6,0,0,0,5,1.3,1.62,6
326,7,1,4,2,0,0,4,1.29,1.21,2
142,8,3,2,3,0,0,4,1.29,2.43,4
46,8,1,3,4,0,0,4,1.29,1.62,10
1495,3,1,2,0,0,0,4,1.29,0.81,2
476,5,2,1,2,0,0,3,1.29,2.43,4
1652,3,2,1,0,0,1,4,1.29,3.64,8
1657,3,2,1,0,0,1,6,1.29,2.02,0
1658,3,2,1,0,0,1,6,1.29,2.02,0
9,12,1,5,6,0,1,2,1.29,4.05,4
349,7,2,3,2,0,0,4,1.29,2.02,4
413,6,2,2,2,0,0,4,1.29,4.05,6
10,8,1,1,6,0,1,4,1.28,2.02,0
483,5,2,1,2,0,0,4,1.28,3.24,2
1259,3,0,2,1,0,1,3,1.28,1.21,12
1327,4,2,1,1,0,1,4,1.28,3.24,0
36,12,3,5,4,0,0,4,1.27,6.07,0
481,5,2,1,2,0,0,4,1.27,0.4,6
390,6,1,3,2,0,0,3,1.27,2.02,4
1423,5,2,3,0,1,0,3,1.27,1.62,8
277,9,2,5,2,0,0,6,1.27,2.43,0
1143,7,3,3,1,0,1,2,1.26,5.26,4
396,8,4,2,2,0,0,4,1.26,2.02,8
802,7,2,4,1,0,0,4,1.26,2.83,8
640,6,3,1,2,0,1,4,1.26,3.64,10
265,10,3,5,2,0,0,5,1.26,2.02,6
1542,9,5,4,0,1,1,6,1.25,0.81,0
1543,9,5,4,0,1,1,6,1.25,0.81,0
1591,4,1,3,0,0,1,1,1.25,1.01,8
125,8,2,3,3,0,0,4,1.25,4.86,10
1386,6,2,4,0,0,0,4,1.25,2.02,8
73,15,2,10,3,0,0,2,1.24,1.62,8
1490,4,2,2,0,0,0,4,1.24,2.83,0
358,7,2,3,2,0,0,4,1.24,2.43,10
608,6,2,2,2,0,1,3,1.24,4.05,0
1304,4,2,1,1,0,1,4,1.23,3.64,10
236,4,0,1,3,0,1,3,1.23,3.24,10
178,5,1,1,3,0,0,4,1.23,0.81,6
977,4,1,2,1,0,0,4,1.23,1.21,8
1367,8,3,5,0,0,0,4,1.23,3.24,0
1685,6,3,5,0,0,0,4,1.23,2.83,8
808,7,2,4,1,0,0,4,1.23,1.62,4
79,11,2,6,3,0,0,5,1.22,1.21,10
777,10,5,4,1,0,0,5,1.22,1.62,4
1122,7,2,4,1,0,1,4,1.21,1.62,8
1571,5,2,3,0,0,1,1,1.21,0.81,2
305,8,2,4,2,0,0,3,1.21,2.83,12
539,8,3,3,2,0,1,1,1.21,2.02,2
803,7,2,4,1,0,0,4,1.21,1.21,4
884,6,2,3,1,0,0,4,1.21,1.21,8
71,5,0,1,4,0,1,2,1.21,3.64,6
399,6,2,2,2,1,0,1,1.21,0.81,4
1503,3,1,2,0,0,0,1,1.21,0.81,0
1268,5,3,1,1,0,1,4,1.21,4.05,8
402,6,2,2,2,1,0,4,1.21,1.62,4
1508,4,3,1,0,0,0,4,1.2,0.4,4
717,3,0,1,2,0,1,3,1.2,4.05,6
1066,3,1,1,1,0,0,3,1.2,2.43,2
1570,5,2,3,0,0,1,1,1.2,0.81,6
1496,3,1,2,0,0,0,4,1.2,1.21,4
303,8,2,4,2,0,0,4,1.19,2.02,8
128,8,2,3,3,0,0,5,1.19,2.02,2
1498,3,1,2,0,0,0,4,1.19,1.21,6
161,6,1,2,3,0,0,5,1.19,1.62,4
1453,6,4,2,0,0,0,5,1.19,3.24,10
1319,4,2,1,1,0,1,4,1.19,2.83,0
512,10,3,5,2,1,1,6,1.19,4.05,4
1557,5,1,4,0,0,1,1,1.18,0.81,2
955,5,2,2,1,0,0,4,1.18,1.62,10
1473,4,2,2,0,0,0,3,1.18,4.05,12
31,14,4,6,4,0,0,3,1.18,2.02,0
573,7,3,2,2,1,1,2,1.18,1.21,2
1021,4,2,1,1,0,0,4,1.18,2.02,2
1166,6,2,3,1,0,1,4,1.18,2.43,4
1639,4,3,1,0,0,1,2,1.17,4.05,6
1697,0,1,1,0,1,1,1,1.17,2.02,10
408,6,2,2,2,0,0,3,1.17,4.05,8
1399,6,2,4,0,0,0,4,1.17,0.81,2
1127,7,2,4,1,0,1,4,1.17,2.43,6
1197,5,2,2,1,0,1,1,1.17,1.01,4
22,8,1,2,5,0,0,4,1.16,2.02,0
1313,4,2,1,1,0,1,4,1.16,2.02,8
585,6,2,2,2,0,1,4,1.16,1.21,8
508,10,2,6,2,0,1,4,1.16,1.21,10
586,6,2,2,2,0,1,4,1.16,1.21,4
756,10,4,5,1,0,0,5,1.16,2.02,8
1333,3,1,1,1,0,1,4,1.15,1.62,8
894,6,2,3,1,0,0,4,1.15,4.05,0
773,7,1,5,1,0,0,4,1.15,5.67,8
1216,5,2,2,1,0,1,4,1.15,1.21,4
1316,4,2,1,1,0,1,2,1.15,4.05,0
914,4,0,3,1,0,0,4,1.15,0.81,4
102,9,2,4,3,0,0,3,1.15,1.62,6
1336,3,1,1,1,0,1,4,1.15,3.64,10
816,7,2,4,1,0,0,3,1.15,2.83,0
42,9,1,4,4,0,0,4,1.15,2.83,8
391,6,1,3,2,0,0,4,1.14,3.24,6
1077,3,1,1,1,0,0,4,1.14,1.21,10
1335,3,1,1,1,0,1,4,1.14,2.43,10
1055,4,2,1,1,0,0,4,1.14,2.43,0
705,4,1,1,2,0,1,1,1.14,1.21,4
1222,5,2,2,1,0,1,4,1.14,2.43,8
271,9,2,5,2,0,0,4,1.14,3.64,8
830,9,5,3,1,0,0,4,1.14,4.05,2
141,9,4,2,3,0,0,5,1.14,3.24,10
1353,10,2,8,0,0,0,5,1.14,2.02,4
1385,6,2,4,0,0,0,4,1.13,4.45,2
1289,4,2,1,1,0,1,4,1.13,1.62,4
1218,5,2,2,1,0,1,4,1.13,0.81,10
116,9,3,3,3,0,0,1,1.13,1.01,6
1303,4,2,1,1,0,1,4,1.13,3.24,8
892,6,2,3,1,0,0,3,1.13,4.05,0
931,5,2,2,1,0,0,4,1.13,1.62,8
1041,4,2,1,1,0,0,4,1.13,1.62,2
612,6,2,2,2,0,1,4,1.13,1.21,0
1120,7,2,4,1,1,1,2,1.12,2.43,4
340,8,3,3,2,0,0,4,1.12,2.83,8
416,6,2,2,2,0,0,4,1.12,2.43,8
688,5,2,1,2,0,1,4,1.12,2.83,4
14,13,4,4,5,0,0,5,1.12,2.83,10
1409,7,4,3,0,0,0,4,1.12,4.05,10
582,6,2,2,2,0,1,4,1.11,0.4,8
1664,2,1,1,0,1,1,3,1.11,2.02,0
1641,4,3,1,0,0,1,4,1.11,1.21,10
1489,4,2,2,0,0,0,4,1.11,2.43,0
1101,8,2,5,1,0,1,2,1.11,0.81,8
524,8,2,4,2,1,1,2,1.11,1.62,4
795,7,2,4,1,0,0,4,1.11,0.81,6
1284,4,2,1,1,0,1,4,1.11,0.81,2
1105,9,4,4,1,0,1,6,1.11,0.2,2
1286,4,2,1,1,0,1,4,1.11,2.02,10
48,8,1,3,4,0,0,4,1.11,2.02,6
646,6,3,1,2,0,1,4,1.11,2.43,0
1415,6,3,3,0,0,0,4,1.11,4.45,10
523,8,2,4,2,1,1,2,1.1,4.05,4
1677,5,3,3,0,1,0,5,1.1,4.05,8
1320,4,2,1,1,0,1,3,1.1,3.24,0
653,5,2,1,2,1,1,2,1.1,0.81,10
1450,8,6,2,0,0,0,5,1.1,1.62,0
1065,3,1,1,1,0,0,4,1.1,0.81,4
499,4,1,1,2,1,0,4,1.1,0.81,10
221,6,2,1,3,0,1,1,1.1,2.02,6
1132,7,2,4,1,1,1,2,1.1,0.81,0
405,6,2,2,2,0,0,4,1.1,3.24,6
1567,6,3,3,0,0,1,2,1.09,1.21,0
96,10,3,4,3,0,0,4,1.09,4.05,6
420,6,2,2,2,0,0,4,1.09,1.62,10
45,9,2,3,4,0,0,4,1.09,2.83,0
1148,6,2,3,1,0,1,1,1.09,1.21,6
812,7,2,4,1,0,0,5,1.09,4.05,2
1221,5,2,2,1,0,1,4,1.09,1.62,2
1023,4,2,1,1,0,0,3,1.09,0.81,6
1563,7,4,3,0,1,1,1,1.09,1.82,0
1410,7,4,3,0,0,0,5,1.09,2.02,6
927,5,2,2,1,0,0,4,1.09,1.21,2
511,10,3,5,2,0,1,1,1.08,0.81,6
1613,4,2,2,0,0,1,4,1.08,1.21,6
552,7,2,3,2,0,1,4,1.08,3.64,10
751,12,6,5,1,0,0,5,1.08,1.62,2
1371,7,2,5,0,0,0,3,1.08,2.83,12
1449,8,6,2,0,0,0,5,1.08,4.05,4
1485,4,2,2,0,0,0,4,1.08,2.02,10
1050,4,2,1,1,0,0,3,1.08,3.24,0
1690,0,1,1,0,1,0,2,1.08,1.21,4
544,7,2,3,2,0,1,2,1.08,0.4,10
1626,3,1,2,0,0,1,2,1.08,0.4,6
1424,5,2,3,0,0,0,3,1.08,1.62,4
496,4,1,1,2,0,0,4,1.07,0.81,8
904,5,1,3,1,0,0,4,1.07,2.02,2
1210,5,2,2,1,0,1,3,1.07,2.83,2
503,4,1,1,2,1,0,1,1.07,0.61,0
337,8,3,3,2,0,0,4,1.07,4.45,10
113,11,5,3,3,0,0,5,1.07,1.62,10
1202,5,2,2,1,0,1,1,1.07,0.81,4
1188,7,4,2,1,1,1,6,1.06,2.02,0
1189,7,4,2,1,1,1,6,1.06,2.02,0
87,10,2,5,3,0,0,5,1.06,1.21,10
576,7,3,2,2,0,1,4,1.06,1.82,10
282,8,1,5,2,0,0,3,1.06,1.21,2
484,5,2,1,2,0,0,4,1.06,3.24,2
555,7,2,3,2,0,1,4,1.06,3.24,6
1337,3,1,1,1,0,1,4,1.06,2.02,6
779,9,4,4,1,0,0,4,1.06,1.62,8
1602,5,3,2,0,0,1,4,1.06,2.83,4
208,7,2,2,3,0,1,6,1.06,3.64,0
209,7,2,2,3,0,1,6,1.06,3.64,0
664,5,2,1,2,0,1,4,1.06,0.4,4
1393,6,2,4,0,0,0,4,1.06,2.83,6
1205,5,2,2,1,0,1,4,1.05,1.21,6
1428,5,2,3,0,0,0,4,1.05,4.86,6
1549,6,2,4,0,0,1,2,1.05,0.81,8
1640,4,3,1,0,0,1,3,1.05,1.62,12
1675,7,5,3,0,0,0,4,1.05,1.21,8
949,5,2,2,1,0,0,4,1.05,2.02,6
194,7,1,3,3,0,1,4,1.05,4.86,8
1540,7,2,5,0,1,1,2,1.04,2.02,4
493,5,2,1,2,0,0,3,1.04,2.83,0
164,5,0,2,3,0,0,3,1.04,3.64,6
1365,10,5,5,0,0,0,5,1.04,1.62,10
1506,4,3,1,0,0,0,3,1.04,2.43,6
679,5,2,1,2,0,1,4,1.04,2.83,6
165,5,0,2,3,0,0,4,1.04,2.02,10
1340,3,1,1,1,0,1,1,1.04,0.3,0
63,10,3,3,4,0,1,4,1.04,4.05,8
601,6,2,2,2,0,1,4,1.04,1.62,2
92,11,4,4,3,0,0,5,1.03,1.62,10
1185,8,5,2,1,1,1,2,1.03,2.02,4
90,11,4,4,3,0,0,4,1.03,2.43,4
1117,7,2,4,1,0,1,2,1.03,4.86,10
1020,4,2,1,1,0,0,4,1.03,1.21,2
568,10,6,2,2,0,1,5,1.03,1.62,10
591,6,2,2,2,0,1,4,1.03,4.86,2
919,6,3,2,1,0,0,4,1.03,0.81,6
938,5,2,2,1,0,0,3,1.03,1.21,4
1597,6,4,2,0,0,1,4,1.03,1.21,2
145,8,3,2,3,0,0,4,1.03,2.02,8
563,7,2,3,2,1,1,6,1.03,1.21,0
285,8,1,5,2,0,0,1,1.02,2.02,0
322,7,1,4,2,0,0,1,1.02,2.02,6
54,6,0,2,4,0,0,4,1.02,2.02,10
1528,2,1,1,0,0,0,3,1.02,4.05,12
450,4,0,2,2,0,0,3,1.02,2.43,10
284,8,1,5,2,0,0,5,1.02,1.21,10
764,8,2,5,1,0,0,4,1.02,4.05,8
834,7,3,3,1,0,0,1,1.02,0.1,4
